schoolKey,schoolId,schoolName,sourceZone,schoolDataMonth,sensitiveAreaIds,sensitiveAreaTypes,sensitiveAreaNames,sensitiveAreaCount,longitude,latitude,analysisPredicate,analysisRole
NLSC-121-2032,2032,臺中市私立曉明女子高級中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6742574,24.1679314,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1025,1025,臺中市私立洛克威爾藝術實驗教育學校,121,202601,G0005,地下水補注地質敏感區,臺中盆地,1,120.7198595,24.2066155,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2649,2649,臺中市私立玉山高級中學,121,202201,L0003,山崩與地滑地質敏感區,臺中市,1,120.8444382,24.2500094,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1024,1024,臺中市私立磊川華德福實驗教育學校,121,202601,G0005,地下水補注地質敏感區,臺中盆地,1,120.7129527,24.1804717,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1180,1180,臺中市私立立人高級中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6911730,24.1052277,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1867,1867,臺中市私立育仁國民小學,121,202508,G0005,地下水補注地質敏感區,臺中盆地,1,120.6911861,24.1567006,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2372,2372,臺中市私立華盛頓國民小學,121,202508,G0005,地下水補注地質敏感區,臺中盆地,1,120.7173232,24.1973259,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-1904,1904,臺中市私立華盛頓高級中學,121,201509,F0001、G0005,地下水補注地質敏感區、活動斷層地質敏感區,臺中盆地、車籠埔斷層,2,120.7451894,24.1579220,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2068,2068,臺中市私立葳格國際學校小學部西屯校區,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6534939,24.1705098,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2206,2206,臺中市私立葳格高級中學,121,201712,G0005,地下水補注地質敏感區,臺中盆地,1,120.7120684,24.1792319,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2298,2298,臺中市私立衛道高級中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6740964,24.1838318,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2350,2350,臺中市私立長春藤高級中學1,121,202201,G0005,地下水補注地質敏感區,臺中盆地,1,120.7185253,24.1927598,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-826,826,臺中市私立馬禮遜美國學校,121,202512,G0005,地下水補注地質敏感區,臺中盆地,1,120.6805234,24.1869622,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-858,858,臺中市私立麗喆雙語國民中小學,121,202601,G0005,地下水補注地質敏感區,臺中盆地,1,120.6139880,24.1957097,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2025,2025,臺中市立三光國民中學,121,201509,G0005,地下水補注地質敏感區,臺中盆地,1,120.6978822,24.1676278,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
NLSC-121-2033,2033,臺中市立中山國民中學,121,202401,G0005,地下水補注地質敏感區,臺中盆地,1,120.6597069,24.1679386,school campus polygon intersects official sensitive-area polygon,SCREENING_REFERENCE
