facility_id,facility_name,facility_type,facility_source,source_record_id,source_date,admin_area,medical_marktype,address,agency,hotspot_name,osm_amenity,osm_office,matched_hazard_groups,matched_hazard_details,hazard_group_count,flood_point_count_300m,screening_priority,analysis_predicate,analysis_role,longitude,latitude
ITAIWAN-11888,羅東鎮公所,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11888,2025-11-06,宜蘭縣,,265宜蘭縣羅東鎮中興路3號,宜蘭縣政府,羅東鎮公所-1F右,,,近5年歷史淹水災點,"[{""group"": ""近5年歷史淹水災點"", ""source_id"": ""130016"", ""distance_m"": 241.5, ""match_count"": 2}]",1,2,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.76713899999999,24.677281999999995
ITAIWAN-11610,蘇澳鎮公所,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11610,2025-11-06,宜蘭縣,,270宜蘭縣蘇澳鎮蘇港路215號,宜蘭縣政府,蘇澳鎮公所-1F,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 271.9, ""intersects"": false}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.842027,24.594739
ITAIWAN-11608,頭城鎮公所,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11608,2025-11-06,宜蘭縣,,261宜蘭縣頭城鎮纘祥路88號,宜蘭縣政府,頭城鎮公所-1F,,,近5年歷史淹水災點,"[{""group"": ""近5年歷史淹水災點"", ""source_id"": ""130016"", ""distance_m"": 295.4, ""match_count"": 1}]",1,1,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.82331600000002,24.859648999999997
ITAIWAN-11604,羅東地政事務所,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11604,2025-11-06,宜蘭縣,,265宜蘭縣羅東鎮中興路5號,宜蘭縣政府,羅東地政事務所,,,近5年歷史淹水災點,"[{""group"": ""近5年歷史淹水災點"", ""source_id"": ""130016"", ""distance_m"": 237.7, ""match_count"": 2}]",1,2,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.76726799999999,24.677320999999996
ITAIWAN-11904,頭城戶政事務所,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11904,2025-11-06,宜蘭縣,,261宜蘭縣頭城鎮開蘭路281號,宜蘭縣政府,頭城戶政事務所,,,近5年歷史淹水災點,"[{""group"": ""近5年歷史淹水災點"", ""source_id"": ""130016"", ""distance_m"": 207.8, ""match_count"": 1}]",1,1,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.82646,24.86285
ITAIWAN-11625,三星鄉戶政事務所,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11625,2025-11-06,宜蘭縣,,266宜蘭縣三星鄉中山路7之6號,宜蘭縣政府,三星鄉戶政事務所,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 0.0, ""intersects"": true}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.651611,24.669169999999998
ITAIWAN-11624,冬山鄉戶政事務所,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11624,2025-11-06,宜蘭縣,,269宜蘭縣冬山鄉冬山路170號,宜蘭縣政府,冬山鄉戶政事務所,,,近5年歷史淹水災點,"[{""group"": ""近5年歷史淹水災點"", ""source_id"": ""130016"", ""distance_m"": 191.2, ""match_count"": 1}]",1,1,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.771517,24.667210999999998
ITAIWAN-11626,大同鄉戶政事務所,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11626,2025-11-06,宜蘭縣,,267宜蘭縣大同鄉朝陽路50號,宜蘭縣政府,大同鄉戶政事務所,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""G0003"", ""distance_m"": 137.7, ""intersects"": false}, {""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 237.3, ""intersects"": false}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.60809500000002,24.677807999999995
ITAIWAN-11620,羅東鎮戶政事務所,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11620,2025-11-06,宜蘭縣,,265宜蘭縣羅東鎮公正路159之1號,宜蘭縣政府,羅東鎮戶政事務所,,,近5年歷史淹水災點,"[{""group"": ""近5年歷史淹水災點"", ""source_id"": ""130016"", ""distance_m"": 141.7, ""match_count"": 5}]",1,5,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.768781,24.678764
ITAIWAN-11621,蘇澳鎮戶政事務所,政府機關,數位發展部 iTaiwan 熱點（政府機關位置代理點）,11621,2025-11-06,宜蘭縣,,270宜蘭縣蘇澳鎮中山路一段254號,宜蘭縣政府,蘇澳鎮戶政事務所,,,地質敏感區,"[{""group"": ""地質敏感區"", ""source_id"": ""L0016"", ""distance_m"": 66.5, ""intersects"": false}]",1,0,單一災害暴露（篩選參考）,public facility point intersects hazard polygon or is within 300 metres of hazard geometry/point,SCREENING_REFERENCE,121.84452699999999,24.595880000000005
