rank,town,village,village_id,data_period,elderly_econ_est,vulnerable_elderly_est,vulnerable_rate_pct,elderly_transit_est,bus_gap_elderly_est,bus_gap_rate_pct,joint_pressure_raw,priority_score,priority_band,data_quality,economic_suppressed_cells,vulnerable_suppressed_cells,transit_suppressed_cells,bus_gap_suppressed_cells
105,頭城鎮,大里里,10002040-002,113Y,170.0,3.0,1.7647,170.0,0.0,0.0,0.0,9.1068,C 中度,較高,0,0,0,0
106,頭城鎮,外澳里,10002040-006,113Y,176.0,3.0,1.7045,177.0,0.0,0.0,0.0,9.1068,C 中度,較高,0,0,0,0
107,五結鄉,協和村,10002090-010,113Y,691.0,3.0,0.4342,694.0,0.0,0.0,0.0,9.1068,C 中度,較高,0,0,0,0
108,五結鄉,孝威村,10002090-011,113Y,352.0,3.0,0.8523,354.0,0.0,0.0,0.0,9.1068,C 中度,較高,0,0,0,0
109,宜蘭市,進士里,10002010-008,113Y,558.0,3.0,0.5376,560.0,0.0,0.0,0.0,9.1068,C 中度,較高,0,0,0,0
110,宜蘭市,小東里,10002010-021,113Y,403.0,3.0,0.7444,408.0,0.0,0.0,0.0,9.1068,C 中度,較高,0,0,0,0
111,宜蘭市,北津里,10002010-026,113Y,461.0,3.0,0.6508,461.0,0.0,0.0,0.0,9.1068,C 中度,較高,0,0,0,0
112,宜蘭市,中山里,10002010-031,113Y,258.0,3.0,1.1628,261.0,0.0,0.0,0.0,9.1068,C 中度,較高,0,0,0,0
113,宜蘭市,南門里,10002010-034,113Y,346.0,3.0,0.8671,350.0,0.0,0.0,0.0,9.1068,C 中度,較高,0,0,0,0
114,宜蘭市,中興里,10002010-046,113Y,575.0,3.0,0.5217,578.0,0.0,0.0,0.0,9.1068,C 中度,較高,0,0,0,0
115,羅東鎮,信義里,10002020-022,113Y,695.0,3.0,0.4317,698.0,0.0,0.0,0.0,9.1068,C 中度,較高,0,0,0,0
116,蘇澳鎮,存仁里,10002030-004,113Y,258.0,3.0,1.1628,258.0,0.0,0.0,0.0,9.1068,C 中度,較高,0,0,0,0
117,頭城鎮,城西里,10002040-012,113Y,152.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
118,頭城鎮,城南里,10002040-013,113Y,170.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
119,頭城鎮,拔雅里,10002040-016,113Y,372.0,0.0,0.0,370.0,43.0,11.6216,0.0,0.0,C 中度,較高,0,0,0,0
120,頭城鎮,福成里,10002040-017,113Y,233.0,0.0,0.0,237.0,219.0,92.4051,0.0,0.0,C 中度,較高,0,0,0,0
121,頭城鎮,金面里,10002040-018,113Y,422.0,0.0,0.0,421.0,241.0,57.2447,0.0,0.0,C 中度,較高,0,0,0,0
122,頭城鎮,金盈里,10002040-019,113Y,157.0,0.0,0.0,158.0,158.0,100.0,0.0,0.0,C 中度,較高,0,0,0,0
123,頭城鎮,頂埔里,10002040-020,113Y,332.0,0.0,0.0,334.0,21.0,6.2874,0.0,0.0,C 中度,較高,0,0,0,0
124,頭城鎮,下埔里,10002040-021,113Y,206.0,0.0,0.0,208.0,164.0,78.8462,0.0,0.0,C 中度,較高,0,0,0,0
125,頭城鎮,中崙里,10002040-022,113Y,240.0,0.0,0.0,242.0,176.0,72.7273,0.0,0.0,C 中度,較高,0,0,0,0
126,頭城鎮,二城里,10002040-023,113Y,253.0,0.0,0.0,257.0,21.0,8.1712,0.0,0.0,C 中度,較高,0,0,0,0
127,頭城鎮,龜山里,10002040-024,113Y,154.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
128,礁溪鄉,大義村,10002050-005,113Y,161.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
129,礁溪鄉,六結村,10002050-006,113Y,351.0,0.0,0.0,355.0,0.0,0.0,0.0,0.0,C 中度,較高,0,0,0,0
